repo_id,dcs_3_score,t0_date,commits_per_month,unique_contributors,median_issue_response,repo_age_days,is_outlier
owner/repo_000,1.0,2022-01-01,9.385361799537183,2,2.8476994740966823,835,False
owner/repo_001,3.0,2022-01-01,60.202428618350424,6,7.5514911314601205,760,False
owner/repo_002,2.0,2022-01-01,26.334913870908988,7,0.9744016424606351,625,False
owner/repo_003,1.0,2022-01-01,18.258851075519065,6,5.188553928585529,1169,False
owner/repo_004,0.0,2022-01-01,3.3924974092469258,3,7.903471517542429,1298,False
owner/repo_005,0.0,2022-01-01,3.391925838292104,3,0.930834166477088,1269,False
owner/repo_006,0.0,2022-01-01,1.1967753721736134,8,2.876503099206271,1441,False
owner/repo_007,2.0,2022-01-01,40.22461728959879,3,5.185830063665442,1304,False
owner/repo_008,1.0,2022-01-01,18.38164307254529,3,9.997681848287911,1218,False
owner/repo_009,2.0,2022-01-01,24.625001234091805,5,3.0819875808418686,957,False
owner/repo_010,0.0,2022-01-01,0.41598615998277244,8,7.3454143194391515,1078,False
owner/repo_011,3.0,2022-01-01,70.07114950316624,3,12.919124689421654,996,False
owner/repo_012,2.0,2022-01-01,35.7285908670935,2,7.584542517477485,423,False
owner/repo_013,0.0,2022-01-01,4.7737525049789395,5,4.25411556578253,492,False
owner/repo_014,0.0,2022-01-01,4.013579774993267,3,6.579591191266082,1100,False
owner/repo_015,0.0,2022-01-01,4.052228456645141,8,3.0066103208895374,1085,False
owner/repo_016,1.0,2022-01-01,7.255074589209542,10,5.342914473135959,890,False
owner/repo_017,1.0,2022-01-01,14.87855661721709,3,4.420975342004036,885,False
owner/repo_018,1.0,2022-01-01,11.310741335606734,2,6.4248167431205365,916,False
owner/repo_019,0.0,2022-01-01,6.88445985107883,5,3.568436389598573,601,False
owner/repo_020,1.0,2022-01-01,18.927417477995974,7,6.688581285923171,858,False
owner/repo_021,0.0,2022-01-01,3.0046905745467734,6,3.540340625452612,368,False
owner/repo_022,0.0,2022-01-01,6.910310240048045,6,9.189604718185466,1030,False
owner/repo_023,1.0,2022-01-01,9.12554436441694,2,3.8406251363462047,806,False
owner/repo_024,1.0,2022-01-01,12.1786937571955,4,0.5316686722215406,393,False
owner/repo_025,2.0,2022-01-01,30.758720220618237,9,2.0237654147266766,1497,False
owner/repo_026,0.0,2022-01-01,4.454717242573806,7,5.071673850315814,974,False
owner/repo_027,1.0,2022-01-01,14.440583100662554,11,14.708759786280986,1169,False
owner/repo_028,1.0,2022-01-01,17.95009442619521,8,8.949293555314508,439,False
owner/repo_029,0.0,2022-01-01,0.9512769951281709,3,0.3950090458155917,1202,False
owner/repo_030,1.0,2022-01-01,18.706660412992203,2,1.181467146321372,492,False
owner/repo_031,0.0,2022-01-01,3.7392250395483284,3,10.86668851989739,406,False
owner/repo_032,0.0,2022-01-01,1.345278617586085,4,7.872973482474188,405,False
owner/repo_033,3.0,2022-01-01,59.47375587013862,5,19.958048401774267,1298,True
owner/repo_034,3.0,2022-01-01,67.41260684922345,5,3.4235728418545452,398,False
owner/repo_035,2.0,2022-01-01,33.046631456257536,4,2.377975925475352,1405,False
owner/repo_036,1.0,2022-01-01,7.265757199375166,3,5.282328118182191,1362,False
owner/repo_037,0.0,2022-01-01,2.055546300050125,8,3.368817733274953,952,False
owner/repo_038,1.0,2022-01-01,23.055015261973235,2,10.19099154886661,706,False
owner/repo_039,1.0,2022-01-01,11.601816851707966,1,3.273413826393688,391,False
