JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 0, locret_grad_norm=0.0002
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 1, locret_grad_norm=0.0002
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 2, locret_grad_norm=0.0002
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 3, locret_grad_norm=0.0002
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 4, locret_grad_norm=0.0001
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 5, locret_grad_norm=0.0004
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 6, locret_grad_norm=0.0004
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 7, locret_grad_norm=0.0018
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 8, locret_grad_norm=0.0037
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 9, locret_grad_norm=0.0015
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 10, locret_grad_norm=0.0151
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 11, locret_grad_norm=0.0020
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 12, locret_grad_norm=0.0001
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 13, locret_grad_norm=0.0001
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 14, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 15, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 16, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 17, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 18, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 19, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 20, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 21, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 22, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 23, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 24, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 25, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 26, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 27, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 28, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 29, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 30, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 31, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 32, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 33, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 34, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 35, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 36, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 37, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 38, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 39, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 40, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 41, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 42, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 43, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 44, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 45, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 46, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 47, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 48, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 49, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 50, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 51, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 52, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 53, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 54, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 55, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 56, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 57, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 58, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 59, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 60, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 1, step 61, locret_grad_norm=0.0000
Epoch 1: avg_loss=1.1407, locret_grad_norm=0.0004
  → epoch 1/3 done, loss=1.1407
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 0, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 1, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 2, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 3, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 4, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 5, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 6, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 7, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 8, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 9, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 10, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 11, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 12, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 13, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 14, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 15, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 16, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 17, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 18, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 19, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 20, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 21, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 22, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 23, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 24, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 25, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 26, locret_grad_norm=0.0000
JointLoRA-KV: Locret heads receiving CE gradients — epoch 2, step 27, locret_grad_norm=0.0000
