,sample_size,dimensionality,num_classes,class_imbalance,edge_density,avg_degree,image_resolution,channel_count,feature_variance,categorical_ratio
ogb_ogbn-arxiv,90941.0,,1.0,,,,,,,
ogb_ogbn-proteins,86619.0,,112.0,,,,,,,
ogb_ogbg-molhiv,32901.0,,1.0,,,,,,,
ogb_ogbg-molpcba,350343.0,,128.0,,,,,,,
github_FedML-AI_FedML,,,,,,,,,,
github_TalwalkarLab_leaf,,,,,,,,,,
github_TsingZ0_PFL-Non-IID,,,,,,,,,,
champ_01,,,,0.5590169943749475,,,,,,
champ_02,,,,0.5590169943749475,,,,,,
champ_03,,,,0.5590169943749475,,,,,,
champ_04,,,,0.5590169943749475,,,,,,
champ_05,,,,0.5590169943749475,,,,,,
champ_06,,,,0.5590169943749475,,,,,,
champ_07,,,,0.5590169943749475,,,,,,
champ_08,,,,0.5590169943749475,,,,,,
zhou_01,,,,0.5590169943749475,,,,,,
zhou_02,,,,0.5590169943749475,,,,,,
zhou_03,,,,0.5590169943749475,,,,,,
zhou_04,,,,0.5590169943749475,,,,,,
zhou_05,,,,0.5590169943749475,,,,,,
zhou_06,,,,0.5590169943749475,,,,,,
zhou_07,,,,0.5590169943749475,,,,,,
zhou_08,,,,0.5590169943749475,,,,,,
zhou_09,,,,0.5590169943749475,,,,,,
zhou_10,,,,0.5590169943749475,,,,,,
zhou_11,,,,0.5590169943749475,,,,,,
zhou_12,,,,0.5590169943749475,,,,,,
zhou_13,,,,0.5590169943749475,,,,,,
zhou_14,,,,0.5590169943749475,,,,,,
