judge,venue,has_hallucination,n_hallucinations,confidence,overall_assessment
claude-opus-4.6,iclr2025_bi_align,True,5,4,"The paper contains several hallucinations of varying severity. The most concerning issues are: (1) a completely empty References section despite citing numerous works by name, some of which appear to be nonexistent; (2) selective presentation of results from independent ablation experiments as if they came from a single comprehensive experiment; and (3) imprecise claims about methodology (e.g., '95% accuracy' for the AI model, 'random threshold switching' for what is actually random challenge probability). The experimental results reported in the paper are largely consistent with the code's actual outputs, but the framing and presentation contain misleading elements. The empty references section is particularly problematic as it makes it impossible to verify any of the cited related work."
claude-opus-4.6,iclr2025_buildingtrust,True,5,5,"The paper contains several significant hallucinations. Most critically: (1) At least two citations reference papers with future dates (2026 and September 2025) that cannot exist, indicating fabricated references. (2) The methodology is fundamentally misrepresented - the paper claims to evaluate on SQuAD, BoolQ, and HellaSwag datasets, but the code reveals that no actual dataset content is used; all features are synthetically generated from random distributions. (3) The claimed dataset-specific findings are artifacts of random training variation rather than genuine differences between task types, since identical synthetic data is generated for all datasets. These hallucinations are severe as they undermine the paper's core claims about dataset-dependent uncertainty communication patterns."
claude-opus-4.6,iclr2025_data_problems,True,3,4,"The paper contains several hallucinations of varying severity. The most clear-cut is the claim of 128M parameters when the actual model is orders of magnitude smaller (~0.5-1M parameters). The citations to 2025 papers (particularly one with an ArXiv ID from June 2025) are suspicious and may be nonexistent. The experimental results, while based on real code execution, are presented with specific numerical claims that require careful verification against the actual experimental logs. The paper's framing as a 'negative result' is somewhat honest, but the specific quantitative claims (4.4% improvement, 5.2% degradation) appear to be cherry-picked from the experimental data to construct a narrative."
claude-opus-4.6,iclr2025_dl4c,True,4,5,"The paper contains severe hallucinations across multiple categories. The most critical issue is that the entire experimental framework is simulated - no actual LLM generates code, and results are determined by hardcoded probability parameters rather than genuine model behavior. The paper claims to use CodeBERT for embeddings and clustering but the code uses simple keyword matching. All citations are missing placeholders. The benchmark evaluations use trivially small subsets with artificially constructed solutions. While the paper does mention 'simulated' implementation in Section 3, the abstract and results sections present findings as substantive empirical contributions, which is deeply misleading given the methodology is entirely synthetic probability sampling."
claude-opus-4.6,iclr2025_mldpr,False,0,4,"The paper appears to be free of hallucinations. All reported experimental results (column coverage metrics, modification depth analysis, algorithm comparison, temporal drift false positive rates, scalability exponent, and multi-version degradation values) are consistent with the underlying code and experimental data files. The numerical values reported in the paper match the experimental outputs within reasonable rounding. The methodology described (hash-based row-level comparison, MD5 hashing, synthetic dataset generation) accurately reflects the implemented code. While the paper has formatting issues with broken references (shown as ?? and ?), these are not hallucinations but rather LaTeX compilation artifacts typical of double-blind submissions."
claude-opus-4.6,iclr2025_question,True,4,4,"The paper contains several significant hallucinations. Most critically: (1) The methodology section misrepresents how P_early and P_late are computed - claiming averaging across layer pairs when the code uses single layers. (2) The abstract's claims about 23-31% hallucination rate reduction and active token rejection are never implemented or tested - the experiments only perform passive monitoring. (3) All citations are empty placeholders (?), making the Related Work section unverifiable. (4) There are inconsistencies in reported sample sizes and accuracy values across different ablation experiments that are presented as uniform in the paper. The paper is fundamentally a negative results paper about passive monitoring, but the abstract and introduction frame it as if an active intervention system was built and tested."
claude-opus-4.6,iclr2025_scope,True,5,4,"The paper contains multiple significant hallucinations. The most severe are: (1) the methodology section claims to use Gumbel-Softmax with straight-through estimation, but the actual code uses simple sigmoid gating without any Gumbel noise; (2) the EATS metric formula in the paper differs fundamentally from the code implementation; (3) specific ablation numbers (particularly the dropout ablation claiming 81.0% accuracy) do not match the experimental data; and (4) the temperature annealing description contains a fundamental conceptual error about how temperature affects distribution sharpness. These hallucinations affect core claims about the methodology and experimental results."
claude-opus-4.6,iclr2025_scsl,True,3,4,"The paper contains several hallucinations. Most critically, the MAE implementation does not actually perform patch masking despite the paper claiming it does - this is a fundamental methodological misrepresentation since masking is the defining characteristic of MAE. Additionally, the claim that both methods achieve 0% worst-group accuracy on Color-MNIST is contradicted by the seed experiments where MAE achieves up to 11% worst-group accuracy. The linear probe training description also doesn't match the implementation."
claude-opus-4.6,iclr2025_verifai,True,4,5,"The paper contains several severe hallucinations. Most critically: (1) It claims to use Z3-based symbolic execution for specification scoring when the actual implementation uses simple token-matching heuristics. (2) It presents dataset-dependent results across CodeXGLUE, CodeSearchNet, and MBPP, but the code reveals that evaluation on all three datasets uses the same 4 synthetic problems - the HuggingFace datasets are loaded but never actually used for generation or evaluation, making the claimed cross-dataset differences fabricated. (3) Specific numerical claims about dataset-dependent failure modes (e.g., MBPP catastrophic fluency collapse) cannot be genuine since the evaluation procedure is identical across all datasets. These are fundamental misrepresentations of the methodology and experimental results."
claude-opus-4.6,iclr2025_wsl,True,5,4,"The paper contains several hallucinations of varying severity. The most concerning is a nonexistent citation (Dayan et al., 2026) with a future date and fabricated ArXiv ID. There are also methodological inaccuracies regarding the sign flipping operation's theoretical justification, and some experimental results appear to be misreported or confused between different ablation conditions (particularly confusing 'very mild' and 'very aggressive' augmentation results). The paper's core experimental trends (augmentation improves MAE) are supported by the code, but specific numerical claims and theoretical descriptions contain errors."
gemini-3.1-pro-preview,iclr2025_bi_align,True,2,5,"The paper accurately reports the experimental results and ablation studies derived from the code. However, it hallucinates key aspects of the methodology, specifically claiming that the AI presents textual 'evidence' to the user and that the user's decision revision is probabilistic, whereas the code implements a purely numerical simulation with deterministic override rules."
gemini-3.1-pro-preview,iclr2025_buildingtrust,True,2,5,"The paper contains two clear hallucinations. First, it fabricates experimental results for the dropout ablation on the BoolQ dataset, claiming the baseline performed worse than the ablated model when the logs show the opposite. Second, it includes several nonexistent citations with impossible future dates (e.g., 2026)."
gemini-3.1-pro-preview,iclr2025_data_problems,True,2,5,"The paper contains significant hallucinations regarding the methodology and experimental results. It falsely claims the model has 128M parameters when it is actually a sub-1M parameter toy model, confusing the hidden dimension size with the parameter count. Additionally, it fabricates the percentage improvement in silhouette scores from domain-contrastive losses, claiming 9.5% instead of the actual ~23-25% shown in the data."
gemini-3.1-pro-preview,iclr2025_dl4c,True,2,5,"The paper contains significant hallucinations regarding its methodology and experimental setup. It falsely claims to use CodeBERT embeddings for clustering and retrieval, whereas the code relies on rudimentary keyword matching. Furthermore, it fabricates the existence of 'Self-debugging' and 'Positive-only RAG' baselines that were never implemented or evaluated in the code."
gemini-3.1-pro-preview,iclr2025_mldpr,True,1,5,"The paper is mostly faithful to the experimental results, accurately reporting metrics for various ablation studies. However, it contains a hallucination regarding the execution time of the hash-based detection method, falsely claiming it is as fast as the column-wise method."
gemini-3.1-pro-preview,iclr2025_question,True,3,5,"The paper contains several hallucinations related to its methodology and experimental setup. It falsely claims to average probability distributions across multiple layers to compute consensus, whereas the code only compares two single layers. It also misreports the layer indices extracted and the maximum generation lengths used for the datasets."
gemini-3.1-pro-preview,iclr2025_scope,True,5,5,"The paper contains severe hallucinations, including fabricated methodology and faked experimental results. The authors claim to use Gumbel-Softmax and straight-through estimation, but the code uses simple soft sigmoid gating. The sparsity loss function in the paper omits a crucial target sparsity penalty present in the code. Furthermore, the paper fabricates the results of the dropout ablation to exaggerate its impact, and completely invents two entire ablation studies (warmup duration sweep and lambda weight sweep) along with their corresponding metrics."
gemini-3.1-pro-preview,iclr2025_scsl,True,3,5,"The paper contains significant methodological hallucinations. Most notably, it claims to evaluate a Masked Autoencoder (MAE) that masks random patches, but the underlying code actually implements a standard Autoencoder without any masking for the baseline experiments. It also hallucinates the training details of the linear probes and includes a fabricated citation."
gemini-3.1-pro-preview,iclr2025_verifai,True,2,5,"The paper contains severe hallucinations in both its methodology and experimental results. It falsely claims to use advanced formal methods (Z3 symbolic execution and Dafny syntax) when the actual implementation relies on basic token-matching heuristics. Furthermore, it fabricates a dataset-specific narrative regarding perplexity spikes, claiming the issue only affects MBPP and caps at 100, whereas the actual data shows massive perplexity explosions across all datasets."
gemini-3.1-pro-preview,iclr2025_wsl,True,3,5,"The paper contains multiple hallucinations. It misreports its own experimental results regarding augmentation magnitude in the main text, contains a fundamental mathematical error regarding the symmetry properties of ReLU networks (which ironically causes the 'augmentation failures' observed in the results), and includes a citation with a fabricated year and ArXiv ID."
gpt-5.4,iclr2025_bi_align,True,4,5,"Hallucinations were found. The most serious issues are the nonexistent/unresolved citations and unsupported experimental claims, especially the architecture ablation numbers that do not match the provided code outputs. There are also clear methodological mismatches and malformed equations. Overall, the paper is not reliable as written."
gpt-5.4,iclr2025_buildingtrust,True,6,5,"Hallucinations were found. The most serious issues are fabricated or unsupported experimental results and ablation claims that do not match the provided implementation, along with misleading methodology and several likely nonexistent/future-dated citations. The paper should not be considered reliable without substantial revision and verification."
gpt-5.4,iclr2025_data_problems,True,5,5,"Hallucinations were found. The paper mixes numbers and conclusions from inconsistent experiment files, includes at least one likely fabricated citation, presents methodology that does not cleanly match the main supplied code, and reports ablation conclusions that omit contradictory details from the actual outputs. The issues are moderate to severe because they affect the paper's core claims, not just formatting."
gpt-5.4,iclr2025_dl4c,True,5,5,"Hallucinations were found. The most serious issues are unsupported or missing citations, methodology claims that overstate what the code actually implements, and experimental claims/results that extend beyond or mismatch the provided simulated experiments. The paper is best interpreted as a simulated exploratory writeup rather than a faithful report of implemented and validated research."
gpt-5.4,iclr2025_mldpr,True,6,5,"Hallucinations were found. The paper has severe citation problems (missing/nonexistent citations) and, more importantly, reports many experimental results and methodological elements that are not supported by the provided paper code. The experimental narrative appears assembled from multiple unrelated ablation artifacts rather than from a single implemented study matching the paper."
