method,seed,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,worst_group_acc
ERM,42,1,0.7338516440774713,0.8124,0.2548749137669802,0.9244,0.3757,0.07345225603357818
ERM,42,2,0.23410343162107225,0.93104,0.18715253761038184,0.9437,0.6381,0.37631887456037516
ERM,42,3,0.181798661925963,0.94704,0.16170824319124222,0.9517,0.708,0.5026232948583421
ERM,42,4,0.15063017021332467,0.95636,0.13831613012589514,0.9601,0.743,0.5135416666666667
ERM,42,5,0.12652934310311564,0.96328,0.12157393279485404,0.9644,0.7724,0.6208333333333333
ERM,42,6,0.10858054400174594,0.96912,0.1126188124064356,0.9674,0.796,0.6097826086956522
ERM,42,7,0.0954015260866406,0.97246,0.10335289167705923,0.9708,0.8121,0.6635416666666667
ERM,42,8,0.08396371621258404,0.97622,0.09990270445123314,0.9707,0.8247,0.6447831184056272
ERM,42,9,0.07318715687499058,0.98006,0.09290283892769366,0.9738,0.8292,0.6631130063965884
ERM,42,10,0.06415073929962758,0.98258,0.09270436284132302,0.9741,0.837,0.6951934349355217
ERM,42,11,0.05697688941691755,0.98438,0.08574584748130291,0.9758,0.85,0.7579957356076759
ERM,42,12,0.05022088429719514,0.98684,0.0843778915819712,0.9757,0.8548,0.7377398720682303
ERM,42,13,0.043824991315831334,0.9885,0.08051231496501714,0.9765,0.8585,0.7569296375266524
ERM,42,14,0.0384603712318123,0.99074,0.08189406640594825,0.9772,0.8568,0.7036247334754797
ERM,42,15,0.03382028495816856,0.99186,0.08108872120501473,0.9765,0.8618,0.6978260869565217
ERM,42,16,0.029908511455037763,0.99318,0.07682324233464896,0.9793,0.8705,0.7878077373974208
ERM,42,17,0.026106997174495945,0.99422,0.07717463677399791,0.9789,0.8585,0.7369565217391304
ERM,42,18,0.02305361568186508,0.99496,0.07812910195207223,0.9797,0.8634,0.7338804220398594
ERM,42,19,0.019635214118705113,0.9966,0.07677160922321491,0.9807,0.8684,0.79375
ERM,42,20,0.018043283967073172,0.99636,0.07594470997573807,0.9798,0.8685,0.7878464818763327
