method,seed,epoch,train_loss,train_acc,val_loss,val_acc,test_acc,worst_group_acc
SAM,42,1,0.8075011628014701,0.81344,0.2668568681925535,0.9222,0.3224,0.03958333333333333
SAM,42,2,0.28298212667661055,0.9296,0.19026891198009252,0.9436,0.6056,0.29791666666666666
SAM,42,3,0.22161277588837,0.94778,0.15978321861475706,0.9535,0.6959,0.49527806925498424
SAM,42,4,0.18666006312990674,0.95738,0.13708796268329024,0.9599,0.7368,0.503125
SAM,42,5,0.16011464439940695,0.9647,0.11966077676042915,0.9649,0.7649,0.5927083333333333
SAM,42,6,0.14030009179319047,0.97012,0.10977302780374884,0.9671,0.7902,0.6154747948417351
SAM,42,7,0.12610332489165724,0.97384,0.10037630554288626,0.9707,0.8006,0.6447916666666667
SAM,42,8,0.114382686302522,0.9776,0.09700425788760185,0.9719,0.8262,0.6554347826086957
SAM,42,9,0.10338592974050921,0.98066,0.0883290302939713,0.9749,0.8275,0.6481876332622601
SAM,42,10,0.09474958781609122,0.98308,0.08466819180175662,0.9758,0.8422,0.7338804220398594
SAM,42,11,0.0870071231596628,0.98492,0.08224411369301379,0.9758,0.8465,0.7445652173913043
SAM,42,12,0.07983153233570713,0.98686,0.07898202771320939,0.9774,0.8504,0.7315217391304348
SAM,42,13,0.07267810514538872,0.98882,0.07409640086116269,0.9793,0.8583,0.7572916666666667
SAM,42,14,0.06726182594287153,0.99072,0.07344471130054445,0.9798,0.8649,0.7334754797441365
SAM,42,15,0.061859565844037095,0.99188,0.07342674920801073,0.9791,0.8678,0.7695652173913043
SAM,42,16,0.057993368160131634,0.99276,0.06933795408112928,0.9807,0.8697,0.7713950762016413
SAM,42,17,0.05348340612931215,0.99388,0.06919142336118966,0.9802,0.8668,0.7804347826086957
SAM,42,18,0.04915079668316306,0.99476,0.06866248662117869,0.9821,0.8686,0.7526377491207503
SAM,42,19,0.04633372751235658,0.99546,0.06638917960226536,0.9812,0.8678,0.7729211087420043
SAM,42,20,0.04415645462707901,0.99582,0.06695898070465774,0.9808,0.8742,0.7963752665245203
