2026-05-04 10:59:28,844 [INFO] datasets: PyTorch version 2.10.0+cu128 available.
2026-05-04 10:59:30,873 [INFO] generate_poc_results: Config validated: 2 adapters, 3 budget ratios
2026-05-04 10:59:31,171 [INFO] generate_poc_results: Device: cuda
2026-05-04 10:59:31,171 [INFO] generate_poc_results: Starting budget sweep: 2 adapters x 3 ratios x 21 tasks
2026-05-04 10:59:31,171 [INFO] evaluate: Loading model: gpt2 [sequential]
2026-05-04 10:59:31,171 [INFO] h_m1_model: Loading base model: gpt2 (condition=baseline)
2026-05-04 10:59:31,857 [INFO] accelerate.utils.modeling: We will use 90% of the memory on device 0 for storing the model, and 10% for the buffer to avoid OOM. You can set `max_memory` in to a higher value to use more memory (at your own risk).
2026-05-04 10:59:32,425 [INFO] h_m1_model: Loading PEFT adapter from: /home/anonymous/YouRA_results_new_4_sonnet46_no_mcp/TEST_scope/docs/youra_research/20260504_scope/h-e1/code/outputs/h-e1/gpt2-baseline/adapter
2026-05-04 10:59:33,578 [INFO] evaluate:   Budget ratio: 0.25
2026-05-04 10:59:33,578 [INFO] h_m1_data: Loading LongBench task: narrativeqa
2026-05-04 10:59:47,451 [INFO] evaluate:   Task narrativeqa: 0.0000
2026-05-04 10:59:47,452 [INFO] h_m1_data: Loading LongBench task: qasper
2026-05-04 10:59:51,464 [INFO] evaluate:   Task qasper: 0.0000
2026-05-04 10:59:51,464 [INFO] h_m1_data: Loading LongBench task: multifieldqa_en
2026-05-04 10:59:54,866 [INFO] evaluate:   Task multifieldqa_en: 0.0000
2026-05-04 10:59:54,866 [INFO] h_m1_data: Loading LongBench task: multifieldqa_zh
2026-05-04 10:59:58,508 [INFO] evaluate:   Task multifieldqa_zh: 0.0000
2026-05-04 10:59:58,509 [INFO] h_m1_data: Loading LongBench task: hotpotqa
2026-05-04 11:00:04,574 [INFO] evaluate:   Task hotpotqa: 0.0000
2026-05-04 11:00:04,574 [INFO] h_m1_data: Loading LongBench task: 2wikimqa
2026-05-04 11:00:06,169 [WARNING] h_m1_data: Failed to load 2wikimqa: [Errno 2] Failed to open local file '/home/anonymous/.cache/huggingface/datasets/THUDM___long_bench/2wikimqa/1.0.0/4a916a4bde5c3481ac49b84d5dde69a9d2eefcd67f884ef65b3d97ee7cc91f3e/long_bench-test.arrow'. Detail: [errno 2] No such file or directory. Returning empty.
2026-05-04 11:00:06,169 [INFO] evaluate:   Task 2wikimqa: 0.0000
2026-05-04 11:00:06,169 [INFO] h_m1_data: Loading LongBench task: musique
