task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_mlr_clarity,r1_mlr_novelty,r1_mlr_soundness,r1_mlr_significance,r1_mlr_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_mlr_clarity,r2_mlr_novelty,r2_mlr_soundness,r2_mlr_significance,r2_mlr_overall
iclr2025_bi_align,YouRA,YouRA,Win,8,7,7,6,7,7,5,4,5,5,8,7,7,7,7,7,5,4,5,5
iclr2025_buildingtrust,YouRA,YouRA,Win,8,7,7,6,7,7,4,4,5,4,9,7,7,7,7,7,5,4,5,5
iclr2025_data_problems,YouRA,YouRA,Win,6,6,5,6,5,7,5,4,4,4,7,7,6,6,6,7,5,4,4,4
iclr2025_dl4c,MLRagent,MLRagent,Lose,8,4,3,2,3,7,5,5,4,5,6,4,3,3,3,7,5,5,5,5
iclr2025_mldpr,MLRagent,MLRagent,Lose,7,4,4,5,4,7,6,5,6,5,7,5,5,5,5,8,6,4,5,5
iclr2025_question,YouRA,YouRA,Win,8,4,5,4,5,7,5,4,4,4,8,5,6,5,5,8,5,4,4,4
iclr2025_scope,YouRA,YouRA,Win,9,5,7,4,5,7,5,3,3,3,8,6,6,5,5,8,5,3,3,3
iclr2025_scsl,YouRA,YouRA,Win,7,4,5,3,4,7,5,3,3,3,7,5,5,4,5,8,6,3,4,4
iclr2025_verifai,MLRagent,YouRA,Tie,8,5,4,4,4,8,6,4,5,5,7,5,6,5,5,7,6,4,5,4
iclr2025_wsl,YouRA,YouRA,Win,8,4,5,5,5,7,4,4,4,4,7,4,5,5,5,7,5,4,4,4

Summary,Win=7,Tie=1,Lose=2,WinRate=70.0%
