task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_aisv2_clarity,r1_aisv2_novelty,r1_aisv2_soundness,r1_aisv2_significance,r1_aisv2_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_aisv2_clarity,r2_aisv2_novelty,r2_aisv2_soundness,r2_aisv2_significance,r2_aisv2_overall
iclr2025_bi_align,YouRA,YouRA,Win,8,6,7,6,7,5,5,3,4,3,8,6,7,6,7,5,5,3,4,4
iclr2025_buildingtrust,YouRA,YouRA,Win,8,7,6,7,7,7,5,3,4,4,8,7,6,6,6,7,5,3,4,4
iclr2025_data_problems,YouRA,YouRA,Win,8,6,5,6,6,7,5,4,4,4,8,6,6,7,6,7,7,4,5,5
iclr2025_dl4c,YouRA,YouRA,Win,7,6,4,5,4,5,5,2,3,2,8,6,4,5,5,6,6,2,4,3
iclr2025_mldpr,YouRA,AISv2,Tie,7,6,4,6,5,5,4,2,5,3,8,5,3,5,4,7,6,5,7,6
iclr2025_question,AISv2,AISv2,Lose,7,3,3,2,3,6,5,5,6,5,7,3,2,2,2,6,6,6,7,6
iclr2025_scope,YouRA,AISv2,Tie,8,4,7,5,6,6,5,3,4,3,8,4,6,4,5,6,6,3,5,4
iclr2025_scsl,YouRA,AISv2,Tie,8,6,5,5,5,7,6,4,5,4,8,6,4,4,4,8,7,5,6,6
iclr2025_verifai,YouRA,AISv2,Tie,7,5,4,5,4,5,6,2,4,2,7,5,2,4,3,6,6,3,5,4
iclr2025_wsl,YouRA,YouRA,Win,6,7,4,6,5,6,6,3,4,4,8,7,4,6,5,7,5,4,5,4

Summary,Win=5,Tie=4,Lose=1,WinRate=50.0%
