task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_aisv2_clarity,r1_aisv2_novelty,r1_aisv2_soundness,r1_aisv2_significance,r1_aisv2_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_aisv2_clarity,r2_aisv2_novelty,r2_aisv2_soundness,r2_aisv2_significance,r2_aisv2_overall
iclr2025_bi_align,YouRA,YouRA,Win,9,8,9,8,9,3,6,2,4,3,9,8,9,8,8,7,7,4,5,5
iclr2025_buildingtrust,YouRA,YouRA,Win,9,8,9,8,9,3,4,2,3,2,9,8,8,8,8,8,7,3,5,4
iclr2025_data_problems,YouRA,AISv2,Tie,9,7,6,8,7,6,8,7,7,7,6,7,4,5,5,9,8,8,7,8
iclr2025_dl4c,YouRA,AISv2,Tie,9,7,8,7,7,6,8,3,6,4,7,6,6,5,5,8,8,7,8,8
iclr2025_mldpr,YouRA,AISv2,Tie,9,8,7,8,8,1,7,4,7,3,7,7,5,7,6,9,8,8,8,8
iclr2025_question,YouRA,AISv2,Tie,9,8,9,8,9,3,7,4,6,4,9,7,8,7,7,8,9,7,8,8
iclr2025_scope,YouRA,AISv2,Tie,9,8,9,8,9,8,7,6,7,7,7,6,7,7,6,9,8,8,8,8
iclr2025_scsl,YouRA,AISv2,Tie,9,8,8,7,8,2,6,5,5,3,8,7,4,5,4,9,8,9,8,9
iclr2025_verifai,YouRA,YouRA,Win,10,8,9,8,9,4,6,3,5,4,9,7,9,7,8,7,8,5,6,6
iclr2025_wsl,YouRA,AISv2,Tie,9,8,9,8,9,3,7,5,6,4,8,7,6,7,7,9,8,9,8,9

Summary,Win=3,Tie=7,Lose=0,WinRate=30.0%
