task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_aisv2_clarity,r1_aisv2_novelty,r1_aisv2_soundness,r1_aisv2_significance,r1_aisv2_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_aisv2_clarity,r2_aisv2_novelty,r2_aisv2_soundness,r2_aisv2_significance,r2_aisv2_overall
iclr2025_bi_align,YouRA,YouRA,Win,9,7,9,8,8,6,6,3,4,3,9,8,9,8,8,8,7,5,6,6
iclr2025_buildingtrust,YouRA,YouRA,Win,9,8,8,8,8,8,6,2,3,3,9,8,8,8,8,8,7,4,5,5
iclr2025_data_problems,YouRA,YouRA,Win,9,7,8,8,8,7,6,2,2,2,9,8,8,8,8,8,6,2,3,3
iclr2025_dl4c,YouRA,YouRA,Win,9,7,6,6,6,8,6,2,2,2,8,6,4,4,4,8,5,1,2,2
iclr2025_mldpr,YouRA,AISv2,Tie,9,7,7,8,7,8,4,4,5,4,8,6,3,4,3,9,7,8,8,8
iclr2025_question,AISv2,AISv2,Lose,9,5,8,4,5,8,7,8,8,8,8,2,5,2,3,9,7,8,8,8
iclr2025_scope,YouRA,YouRA,Win,9,7,9,8,8,8,6,4,5,4,9,7,9,8,8,8,6,5,6,5
iclr2025_scsl,AISv2,AISv2,Lose,7,5,3,3,3,9,7,8,8,8,8,6,3,3,3,8,7,7,7,7
iclr2025_verifai,AISv2,YouRA,Tie,7,5,2,3,2,9,8,9,8,8,8,5,3,3,3,8,6,1,1,1
iclr2025_wsl,AISv2,AISv2,Lose,9,7,7,7,7,9,8,8,8,8,8,8,5,7,6,9,8,8,8,8

Summary,Win=5,Tie=2,Lose=3,WinRate=50.0%
