task,r1_winner,r2_winner,verdict,r1_youra_clarity,r1_youra_novelty,r1_youra_soundness,r1_youra_significance,r1_youra_overall,r1_aisv2_clarity,r1_aisv2_novelty,r1_aisv2_soundness,r1_aisv2_significance,r1_aisv2_overall,r2_youra_clarity,r2_youra_novelty,r2_youra_soundness,r2_youra_significance,r2_youra_overall,r2_aisv2_clarity,r2_aisv2_novelty,r2_aisv2_soundness,r2_aisv2_significance,r2_aisv2_overall
iclr2025_bi_align,YouRA,YouRA,Win,9,7,8,6,7,5,5,3,4,4,9,7,7,6,7,6,6,3,4,4
iclr2025_buildingtrust,YouRA,YouRA,Win,9,7,8,7,7,6,4,3,3,3,8,7,7,7,7,7,5,2,3,3
iclr2025_data_problems,AISv2,AISv2,Lose,5,6,4,4,4,7,5,6,4,5,6,5,4,4,4,7,5,5,5,5
iclr2025_dl4c,AISv2,AISv2,Lose,8,3,4,2,2,6,5,4,4,4,7,3,4,2,2,7,5,3,4,4
iclr2025_mldpr,AISv2,AISv2,Lose,8,4,3,4,4,7,6,5,6,5,9,4,5,4,5,7,6,4,5,5
iclr2025_question,YouRA,AISv2,Tie,9,4,6,5,5,6,7,4,5,5,7,4,6,4,5,7,7,4,5,5
iclr2025_scope,YouRA,YouRA,Win,8,5,7,5,6,7,6,4,4,5,6,5,6,5,5,7,5,4,4,4
iclr2025_scsl,AISv2,AISv2,Lose,7,4,3,3,3,7,5,6,5,5,6,3,4,3,4,7,4,6,5,5
iclr2025_verifai,YouRA,YouRA,Win,9,3,7,3,4,6,5,3,3,3,9,4,7,4,5,7,5,3,3,3
iclr2025_wsl,YouRA,AISv2,Tie,9,5,7,6,6,6,6,5,5,5,7,4,6,4,5,7,5,5,5,5

Summary,Win=4,Tie=2,Lose=4,WinRate=40.0%
